READ SERR 1
@_compps_qdp_tmp.pco
!
1.35677302 7.81012699E-3 6.6567722E-8
1.37248373 7.900564E-3 6.56098962E-8
1.38837636 7.99204782E-3 6.46650236E-8
1.40445292 8.08459148E-3 6.37328768E-8
1.42071581 8.17820709E-3 6.28132426E-8
1.43716681 8.27290583E-3 6.19059151E-8
1.45380843 8.36870167E-3 6.10106881E-8
1.47064281 8.46560672E-3 6.01273769E-8
1.48767197 8.56363401E-3 5.92558003E-8
1.50489843 8.66279658E-3 5.83957878E-8
1.52232432 8.76310654E-3 5.75471759E-8
1.53995204 8.86457879E-3 5.67098049E-8
1.55778384 8.96722544E-3 5.58835254E-8
1.57582211 9.07106139E-3 5.50681882E-8
1.59406924 9.17609874E-3 5.4263662E-8
1.61252773 9.28235333E-3 5.34698081E-8
1.63119996 9.3898382E-3 5.26864987E-8
1.65008831 9.49856732E-3 5.19136059E-8
1.66919541 9.60855559E-3 5.11509981E-8
1.68852389 9.71981697E-3 5.03985618E-8
1.708076 9.8323673E-3 4.9656169E-8
1.72785461 9.94622055E-3 4.89237131E-8
1.74786222 1.00613926E-2 4.82010734E-8
1.76810145 1.01778982E-2 4.74881503E-8
1.78857517 1.02957524E-2 4.67848302E-8
1.80928588 1.0414972E-2 4.60910101E-8
1.83023643 1.05355717E-2 4.54065869E-8
1.85142958 1.06575675E-2 4.47314648E-8
1.87286806 1.07809762E-2 4.4065537E-8
1.89455485 1.09058144E-2 4.34087148E-8
1.91649282 1.1032098E-2 4.27608988E-8
1.9386847 1.11598428E-2 4.2121993E-8
1.96113372 1.12890685E-2 4.14919015E-8
1.98384249 1.14197899E-2 4.08705354E-8
2.00681424 1.15520246E-2 4.02578024E-8
2.03005219 1.16857905E-2 3.96536066E-8
2.05355906 1.18211051E-2 3.90578627E-8
2.07733822 1.19579872E-2 3.84704748E-8
2.10139251 1.20964544E-2 3.78913434E-8
2.12572551 1.22365244E-2 3.73203797E-8
2.15034032 1.23782167E-2 3.67574913E-8
2.17524004 1.25215501E-2 3.62025823E-8
2.20042825 1.2666543E-2 3.56555603E-8
2.22590804 1.28132142E-2 3.51163401E-8
2.25168276 1.29615841E-2 3.45848257E-8
2.27775598 1.31116724E-2 3.40609283E-8
2.30413127 1.32634984E-2 3.35445556E-8
2.33081174 1.34170828E-2 3.30356258E-8
2.3578012 1.35724451E-2 3.25340466E-8
2.38510323 1.37296068E-2 3.20397326E-8
2.4127214 1.38885882E-2 3.15525952E-8
2.44065952 1.40494099E-2 3.10725454E-8
2.46892095 1.42120952E-2 3.05995016E-8
2.49750972 1.43766627E-2 3.01333749E-8
2.52642965 1.45431366E-2 2.96740854E-8
2.55568433 1.47115383E-2 2.92215443E-8
2.58527756 1.48818903E-2 2.87756698E-8
2.61521387 1.50542147E-2 2.83363732E-8
2.64549661 1.52285341E-2 2.79035675E-8
2.67612982 1.54048717E-2 2.74771654E-8
2.70711803 1.55832525E-2 2.70570784E-8
2.73846507 1.57636981E-2 2.66432227E-8
2.77017498 1.59462318E-2 2.62355151E-8
2.80225205 1.61308814E-2 2.58338684E-8
2.83470058 1.63176674E-2 2.54382044E-8
2.86752486 1.65066179E-2 2.5048438E-8
2.90072918 1.66977551E-2 2.46644891E-8
2.93431807 1.6891107E-2 2.42862797E-8
2.96829581 1.70866959E-2 2.39137297E-8
3.00266719 1.72845516E-2 2.35467592E-8
3.03743649 1.74846966E-2 2.31852955E-8
3.07260823 1.76871605E-2 2.28292567E-8
3.10818744 1.78919677E-2 2.24785719E-8
3.14417863 1.8099146E-2 2.21331664E-8
3.18058634 1.83087252E-2 2.17929639E-8
3.21741581 1.85207296E-2 2.14578932E-8
3.25467181 1.8735189E-2 2.11278817E-8
3.29235911 1.89521331E-2 2.08028563E-8
3.33048272 1.91715881E-2 2.04827426E-8
3.36904788 1.93935856E-2 2.01674677E-8
3.4080596 1.96181517E-2 1.98569587E-8
3.44752312 1.98453199E-2 1.95511465E-8
3.48744369 2.00751182E-2 1.92499616E-8
3.52782631 2.03075763E-2 1.89533331E-8
3.56867671 2.05427278E-2 1.86611953E-8
