READ SERR 1
@_compps_qdp_tmp.pco
!
1.63119994E-2 9.38983794E-5 3.57365266E-8
1.65008828E-2 9.49856694E-5 3.65318762E-8
1.66919548E-2 9.60855541E-5 3.73444813E-8
1.68852378E-2 9.71981717E-5 3.81747007E-8
1.70807596E-2 9.8323675E-5 3.9022904E-8
1.72785465E-2 9.94622096E-5 3.98894571E-8
1.74786225E-2 1.00613928E-4 4.077474E-8
1.76810157E-2 1.01778984E-4 4.16791437E-8
1.7885752E-2 1.02957529E-4 4.26030624E-8
1.80928595E-2 1.04149716E-4 4.35468941E-8
1.83023643E-2 1.05355713E-4 4.45110473E-8
1.8514296E-2 1.06575673E-4 4.54959448E-8
1.87286809E-2 1.07809763E-4 4.65020058E-8
1.89455487E-2 1.09058143E-4 4.75296673E-8
1.91649273E-2 1.1032098E-4 4.85793699E-8
1.93868484E-2 1.11598434E-4 4.96515611E-8
1.96113363E-2 1.12890681E-4 5.07467028E-8
1.98384244E-2 1.14197894E-4 5.1865257E-8
2.00681426E-2 1.15520241E-4 5.30077031E-8
2.03005224E-2 1.16857904E-4 5.4174528E-8
2.05355901E-2 1.18211057E-4 5.53662183E-8
2.0773381E-2 1.19579876E-4 5.65832785E-8
2.10139267E-2 1.20964542E-4 5.78262167E-8
2.12572552E-2 1.22365251E-4 5.90955551E-8
2.15034038E-2 1.23782171E-4 6.03918124E-8
2.17524003E-2 1.25215505E-4 6.17155393E-8
2.20042821E-2 1.26665429E-4 6.30672758E-8
2.22590789E-2 1.28132146E-4 6.44475762E-8
2.2516828E-2 1.29615844E-4 6.58570087E-8
2.27775592E-2 1.31116729E-4 6.72961491E-8
2.30413117E-2 1.32634988E-4 6.87655941E-8
2.33081169E-2 1.34170827E-4 7.02659335E-8
2.35780124E-2 1.35724447E-4 7.17977713E-8
2.38510333E-2 1.37296069E-4 7.33617327E-8
2.41272151E-2 1.3888588E-4 7.49584501E-8
2.44065952E-2 1.40494099E-4 7.6588563E-8
2.46892106E-2 1.42120945E-4 7.8252711E-8
2.49750968E-2 1.43766636E-4 7.9951576E-8
2.52642948E-2 1.45431375E-4 8.1685819E-8
2.55568419E-2 1.47115381E-4 8.34561362E-8
2.58527771E-2 1.48818901E-4 8.52632169E-8
2.61521377E-2 1.50542139E-4 8.71077717E-8
2.64549647E-2 1.52285342E-4 8.8990511E-8
2.6761299E-2 1.54048714E-4 9.09121738E-8
2.70711798E-2 1.55832517E-4 9.2873492E-8
2.738465E-2 1.57636983E-4 9.48752188E-8
2.77017485E-2 1.59462332E-4 9.69181286E-8
2.80225202E-2 1.6130881E-4 9.90029818E-8
2.83470061E-2 1.63176679E-4 1.01130581E-7
2.86752488E-2 1.65066172E-4 1.03301723E-7
2.90072933E-2 1.66977552E-4 1.05517223E-7
2.93431804E-2 1.68911065E-4 1.07777907E-7
2.96829585E-2 1.70866959E-4 1.10084621E-7
3.00266724E-2 1.7284551E-4 1.12438215E-7
3.03743649E-2 1.74846966E-4 1.14839551E-7
3.07260826E-2 1.76871603E-4 1.17289517E-7
3.10818739E-2 1.78919669E-4 1.19789007E-7
3.14417854E-2 1.80991468E-4 1.22338918E-7
3.18058655E-2 1.8308725E-4 1.24940186E-7
3.21741588E-2 1.85207304E-4 1.27593736E-7
3.25467177E-2 1.87351892E-4 1.30300535E-7
3.29235904E-2 1.89521335E-4 1.33061505E-7
3.33048292E-2 1.91715881E-4 1.35877642E-7
3.36904787E-2 1.93935848E-4 1.38749911E-7
3.40805985E-2 1.96181514E-4 1.41679308E-7
3.44752334E-2 1.98453199E-4 1.44666842E-7
3.48744355E-2 2.00751179E-4 1.47713536E-7
3.52782644E-2 2.03075761E-4 1.50820426E-7
3.56867649E-2 2.05427277E-4 1.53988566E-7
3.61000001E-2 2.07806006E-4 1.57218992E-7
3.65180187E-2 2.10212282E-4 1.60512812E-7
3.69408764E-2 2.12646424E-4 1.63871093E-7
3.73686329E-2 2.15108754E-4 1.67294957E-7
3.78013402E-2 2.17599605E-4 1.70785512E-7
3.82390581E-2 2.20119284E-4 1.74343896E-7
3.86818461E-2 2.22668154E-4 1.77971245E-7
3.91297601E-2 2.2524652E-4 1.81668725E-7
3.95828635E-2 2.27854762E-4 1.85437514E-7
4.0041212E-2 2.30493184E-4 1.89278794E-7
